customerId= 1011  |  [1945.0, 3230.0, 2050.0, 4255.0]
customerId= 999  |  [1500.0, 2000.0, 2500.0, 3000.0]
customerId= 1001  |  [2450.0, 3675.0, 1980.0, 3025.0]
customerId= 1007  |  [3030.0, 1635.0, 1520.0, 2265.0]
customerId= 1004  |  [3100.0, 2515.0, 4270.0, 1875.0]
customerId= 1002  |  [3950.0, 1675.0, 2310.0, 2225.0]
customerId= 1031  |  [3305.0, 2965.0, 1525.0, 2005.0]
customerId= 1032  |  [3865.0, 3010.0, 3980.0, 4145.0]
customerId= 1006  |  [1950.0, 1205.0, 2050.0, 1375.0]
customerId= 1026  |  [2015.0, 1680.0, 1730.0, 1925.0]
customerId= 1009  |  [2650.0, 3545.0, 2710.0, 1290.0]
customerId= 1025  |  [3930.0, 1335.0, 3450.0, 2025.0]
customerId= 1027  |  [4130.0, 3225.0, 2160.0, 3560.0]
customerId= 1019  |  [2070.0, 2435.0, 1405.0, 1685.0]
customerId= 1003  |  [2235.0, 4785.0, 3010.0, 4250.0]
customerId= 1005  |  [3700.0, 3450.0, 2305.0, 3280.0]
customerId= 1012  |  [2480.0, 3180.0, 3455.0, 2270.0]
customerId= 1023  |  [2520.0, 3125.0, 4255.0, 1570.0]
customerId= 1030  |  [3190.0, 1935.0, 2565.0, 3610.0]
customerId= 1028  |  [2710.0, 2745.0, 3355.0, 2395.0]
customerId= 1018  |  [3150.0, 4055.0, 3835.0, 1465.0]
customerId= 1020  |  [3145.0, 3535.0, 1415.0, 3910.0]
customerId= 1022  |  [2000.0, 2955.0, 3485.0, 1440.0]
customerId= 1029  |  [2305.0, 2950.0, 2465.0, 3895.0]
customerId= 1014  |  [2920.0, 4025.0, 1585.0, 3405.0]
customerId= 1021  |  [2935.0, 2690.0, 1675.0, 3345.0]
customerId= 1017  |  [2775.0, 3800.0, 1720.0, 1540.0]
customerId= 1008  |  [2425.0, 1995.0, 2740.0, 3905.0]
customerId= 1016  |  [2830.0, 2235.0, 4065.0, 2320.0]
customerId= 1010  |  [1495.0, 1235.0, 2770.0, 3810.0]
customerId= 1024  |  [1640.0, 1825.0, 3065.0, 2710.0]
customerId= 1013  |  [2875.0, 1755.0, 3155.0, 2665.0]
